class_name,TP,FP,TN,FN,Accuracy,Precision,Recall,F_measure,Error_rate,Specificity,FNR,FPR
Limoniastrum monopetalum,2.00,10.00,14.00,14.00,40.00,16.67,12.50,14.29,60.00,58.33,41.67,87.50
Limonium narbonense,2.00,9.00,6.00,6.00,34.78,18.18,25.00,21.05,65.22,40.00,60.00,75.00
Limonium vulgare,0.00,8.00,14.00,14.00,38.89,0.00,0.00,,61.11,63.64,36.36,100.00
Linaria alpina,0.00,15.00,8.00,8.00,25.81,0.00,0.00,,74.19,34.78,65.22,100.00
Linaria repens,5.00,15.00,16.00,16.00,40.38,25.00,23.81,24.39,59.62,51.61,48.39,76.19
Linaria supina,1.00,5.00,10.00,10.00,42.31,16.67,9.09,11.76,57.69,66.67,33.33,90.91
Linaria vulgaris,3.00,8.00,13.00,13.00,43.24,27.27,18.75,22.22,56.76,61.90,38.10,81.25
Linum campanulatum,1.00,1.00,11.00,11.00,50.00,50.00,8.33,14.29,50.00,91.67,8.33,91.67
Linum narbonense,1.00,8.00,7.00,7.00,34.78,11.11,12.50,11.76,65.22,46.67,53.33,87.50
Linum suffruticosum,4.00,5.00,9.00,9.00,48.15,44.44,30.77,36.36,51.85,64.29,35.71,69.23
Linum usitatissimum,3.00,3.00,8.00,8.00,50.00,50.00,27.27,35.29,50.00,72.73,27.27,72.73
Lippia triphylla,2.00,11.00,5.00,5.00,30.43,15.38,28.57,20.00,69.57,31.25,68.75,71.43
Liquidambar styraciflua,16.00,22.00,19.00,19.00,46.05,42.11,45.71,43.84,53.95,46.34,53.66,54.29
Liriodendron tulipifera,24.00,33.00,37.00,37.00,46.56,42.11,39.34,40.68,53.44,52.86,47.14,60.66
Lithodora fruticosa,4.00,17.00,8.00,8.00,32.43,19.05,33.33,24.24,67.57,32.00,68.00,66.67
Lithospermum officinale,2.00,23.00,7.00,7.00,23.08,8.00,22.22,11.76,76.92,23.33,76.67,77.78
Lobularia maritima,1.00,2.00,11.00,11.00,48.00,33.33,8.33,13.33,52.00,84.62,15.38,91.67
Loncomelos pyrenaicus,2.00,10.00,9.00,9.00,36.67,16.67,18.18,17.39,63.33,47.37,52.63,81.82
Lonicera alpigena,1.00,7.00,5.00,5.00,33.33,12.50,16.67,14.29,66.67,41.67,58.33,83.33
Lonicera etrusca,1.00,8.00,9.00,9.00,37.04,11.11,10.00,10.53,62.96,52.94,47.06,90.00
Lonicera implexa,1.00,5.00,8.00,8.00,40.91,16.67,11.11,13.33,59.09,61.54,38.46,88.89
Lonicera periclymenum,1.00,3.00,14.00,14.00,46.88,25.00,6.67,10.53,53.12,82.35,17.65,93.33
Lonicera xylosteum,6.00,19.00,16.00,16.00,38.60,24.00,27.27,25.53,61.40,45.71,54.29,72.73
Lotus corniculatus,2.00,11.00,35.00,35.00,44.58,15.38,5.41,8.00,55.42,76.09,23.91,94.59
Lotus edulis,1.00,1.00,10.00,10.00,50.00,50.00,9.09,15.38,50.00,90.91,9.09,90.91
Lotus maritimus,2.00,12.00,12.00,12.00,36.84,14.29,14.29,14.29,63.16,50.00,50.00,85.71
Lunaria annua,4.00,9.00,18.00,18.00,44.90,30.77,18.18,22.86,55.10,66.67,33.33,81.82
Lupinus angustifolius,1.00,2.00,6.00,6.00,46.67,33.33,14.29,20.00,53.33,75.00,25.00,85.71
Luzula campestris,0.00,11.00,9.00,9.00,31.03,0.00,0.00,,68.97,45.00,55.00,100.00
